cbsa_code,cbsa_title,cbsa_kind
10100,"Aberdeen, SD",micro
10140,"Aberdeen, WA",micro
10180,"Abilene, TX",metro
10220,"Ada, OK",micro
10300,"Adrian, MI",micro
10380,"Aguadilla, PR",metro
10420,"Akron, OH",metro
10460,"Alamogordo, NM",micro
10480,"Alamosa, CO",micro
10500,"Albany, GA",metro
10540,"Albany, OR",metro
10580,"Albany-Schenectady-Troy, NY",metro
10620,"Albemarle, NC",micro
10660,"Albert Lea, MN",micro
10700,"Albertville, AL",micro
10740,"Albuquerque, NM",metro
10760,"Alexander City, AL",micro
10780,"Alexandria, LA",metro
10820,"Alexandria, MN",micro
10860,"Alice, TX",micro
10900,"Allentown-Bethlehem-Easton, PA-NJ",metro
10940,"Alma, MI",micro
10980,"Alpena, MI",micro
11020,"Altoona, PA",metro
11060,"Altus, OK",micro
11100,"Amarillo, TX",metro
11140,"Americus, GA",micro
11180,"Ames, IA",metro
11200,"Amherst Town-Northampton, MA",metro
11220,"Amsterdam, NY",micro
11260,"Anchorage, AK",metro
11360,"Anderson Creek, NC",micro
11380,"Andrews, TX",micro
11420,"Angola, IN",micro
11460,"Ann Arbor, MI",metro
11500,"Anniston-Oxford, AL",metro
11540,"Appleton, WI",metro
11580,"Arcadia, FL",micro
11620,"Ardmore, OK",micro
11640,"Arecibo, PR",metro
11660,"Arkadelphia, AR",micro
11680,"Arkansas City-Winfield, KS",micro
11700,"Asheville, NC",metro
11740,"Ashland, OH",micro
11820,"Astoria, OR",micro
11860,"Atchison, KS",micro
11900,"Athens, OH",micro
11940,"Athens, TN",micro
11980,"Athens, TX",micro
12020,"Athens-Clarke County, GA",metro
12060,"Atlanta-Sandy Springs-Roswell, GA",metro
12100,"Atlantic City-Hammonton, NJ",metro
12140,"Auburn, IN",micro
12180,"Auburn, NY",micro
12220,"Auburn-Opelika, AL",metro
12260,"Augusta-Richmond County, GA-SC",metro
12300,"Augusta-Waterville, ME",micro
12380,"Austin, MN",micro
12420,"Austin-Round Rock-San Marcos, TX",metro
12460,"Bainbridge, GA",micro
12520,"Baker City, OR",micro
12540,"Bakersfield-Delano, CA",metro
12580,"Baltimore-Columbia-Towson, MD",metro
12620,"Bangor, ME",metro
12660,"Baraboo, WI",micro
12700,"Barnstable Town, MA",metro
12740,"Barre, VT",micro
12780,"Bartlesville, OK",micro
12860,"Batavia, NY",micro
12900,"Batesville, AR",micro
12940,"Baton Rouge, LA",metro
12980,"Battle Creek, MI",metro
13020,"Bay City, MI",metro
13060,"Bay City, TX",micro
13100,"Beatrice, NE",micro
13140,"Beaumont-Port Arthur, TX",metro
13180,"Beaver Dam, WI",micro
13220,"Beckley, WV",metro
13260,"Bedford, IN",micro
13300,"Beeville, TX",micro
13340,"Bellefontaine, OH",micro
13380,"Bellingham, WA",metro
13420,"Bemidji, MN",micro
13460,"Bend, OR",metro
13540,"Bennington, VT",micro
13660,"Big Rapids, MI",micro
13700,"Big Spring, TX",micro
13740,"Billings, MT",metro
13780,"Binghamton, NY",metro
13820,"Birmingham, AL",metro
13860,"Bishop, CA",micro
13900,"Bismarck, ND",metro
13940,"Blackfoot, ID",micro
13980,"Blacksburg-Christiansburg-Radford, VA",metro
14010,"Bloomington, IL",metro
14020,"Bloomington, IN",metro
14100,"Bloomsburg-Berwick, PA",micro
14140,"Bluefield, WV-VA",micro
14180,"Blytheville, AR",micro
14220,"Bogalusa, LA",micro
14260,"Boise City, ID",metro
14300,"Bonham, TX",micro
14380,"Boone, NC",micro
14420,"Borger, TX",micro
14460,"Boston-Cambridge-Newton, MA-NH",metro
14500,"Boulder, CO",metro
14540,"Bowling Green, KY",metro
14580,"Bozeman, MT",metro
14620,"Bradford, PA",micro
14660,"Brainerd, MN",micro
14700,"Branson, MO",micro
14710,"Brattleboro, VT",micro
14720,"Breckenridge, CO",micro
14740,"Bremerton-Silverdale-Port Orchard, WA",metro
14780,"Brenham, TX",micro
14820,"Brevard, NC",micro
14860,"Bridgeport-Stamford-Danbury, CT",metro
14940,"Brigham City, UT-ID",micro
15020,"Brookhaven, MS",micro
15060,"Brookings, OR",micro
