zip,cbsa_code,bus_ratio,city,state
00501,35620,1.0000,HOLTSVILLE,NY
01001,44140,1.0000,AGAWAM,MA
01002,44140,1.0000,AMHERST,MA
01003,44140,1.0000,AMHERST,MA
01004,44140,1.0000,AMHERST,MA
01005,49340,1.0000,BARRE,MA
01007,44140,1.0000,BELCHERTOWN,MA
01008,44140,0.9524,BLANDFORD,MA
01009,44140,1.0000,BONDSVILLE,MA
01010,44140,1.0000,BRIMFIELD,MA
01011,44140,1.0000,CHESTER,MA
01012,44140,1.0000,CHESTERFIELD,MA
01013,44140,1.0000,CHICOPEE,MA
01014,44140,1.0000,CHICOPEE,MA
01020,44140,1.0000,CHICOPEE,MA
01021,44140,1.0000,CHICOPEE,MA
01022,44140,1.0000,CHICOPEE,MA
01026,44140,1.0000,CUMMINGTON,MA
01027,44140,1.0000,EASTHAMPTON,MA
01028,44140,1.0000,EAST LONGMEADOW,MA
01029,38340,0.0000,EAST OTIS,MA
01030,44140,1.0000,FEEDING HILLS,MA
01031,49340,0.9412,GILBERTVILLE,MA
01032,44140,1.0000,GOSHEN,MA
01033,44140,1.0000,GRANBY,MA
01034,44140,1.0000,GRANVILLE,MA
01035,44140,1.0000,HADLEY,MA
01036,44140,1.0000,HAMPDEN,MA
01037,49340,1.0000,HARDWICK,MA
01038,44140,1.0000,HATFIELD,MA
01039,44140,1.0000,HAYDENVILLE,MA
01040,44140,1.0000,HOLYOKE,MA
01041,44140,1.0000,HOLYOKE,MA
01050,44140,1.0000,HUNTINGTON,MA
01053,44140,1.0000,LEEDS,MA
01054,44140,1.0000,LEVERETT,MA
01056,44140,1.0000,LUDLOW,MA
01057,44140,1.0000,MONSON,MA
01059,44140,1.0000,NORTH AMHERST,MA
01060,44140,1.0000,NORTHAMPTON,MA
01061,44140,1.0000,NORTHAMPTON,MA
01062,44140,1.0000,FLORENCE,MA
01063,44140,1.0000,NORTHAMPTON,MA
01066,44140,1.0000,NORTH HATFIELD,MA
01068,49340,1.0000,OAKHAM,MA
01069,44140,1.0000,PALMER,MA
01070,44140,1.0000,PLAINFIELD,MA
01071,44140,1.0000,RUSSELL,MA
01072,44140,1.0000,SHUTESBURY,MA
01073,44140,1.0000,SOUTHAMPTON,MA
01074,49340,1.0000,SOUTH BARRE,MA
01075,44140,1.0000,SOUTH HADLEY,MA
01077,44140,1.0000,SOUTHWICK,MA
01079,44140,1.0000,THORNDIKE,MA
01080,44140,1.0000,THREE RIVERS,MA
01081,44140,1.0000,WALES,MA
01082,44140,0.9111,WARE,MA
01083,49340,0.0000,WARREN,MA
01084,44140,0.0000,WEST CHESTERFIELD,MA
01085,44140,1.0000,WESTFIELD,MA
01086,44140,1.0000,WESTFIELD,MA
